Zeile,Kategorie,Text,Anzahl,Verzeichnisnamen,Dateiname,Dateityp,Datum/Uhrzeit,Groesse (bytes)
110,Datei #6,,,,dastshte,.html,05.06.2022 12:15:35,2935
111,Datei #7,,,,dastso,.json,04.06.2022 13:54:52,1395
112,Datei #8,,,,dastvgte_quelle,.json,08.05.2022 12:22:53,468
113,Datei #9,,,,dastvgte_vergleich,.json,08.05.2022 12:22:53,694
114,Datei #10,,,,dastvgte_ziel,.json,08.05.2022 12:22:53,556
115,Datei #11,,,,dateistruktur,.json,01.06.2022 21:37:05,1550
116,Datei #12,,,,strukturausgabe,.json,04.06.2022 10:42:32,1395
117,Leerzeile,---,---,---,---,---,---,---
118,Verzeichnis,,,doku/test/quelle,,,,
119,Anzahl Verzeichnisse,,3,,,,,
120,Verzeichnis #1,,,pfad1,,,,
121,Verzeichnis #2,,,pfad2,,,,
122,Verzeichnis #3,,,pfad3,,,,
123,Anzahl Dateien,,0,,,,,
124,Anzahl Dateitypen,,0,,,,,
125,Leerzeile,---,---,---,---,---,---,---
126,Verzeichnis,,,doku/test/quelle/pfad1,,,,
127,Anzahl Verzeichnisse,,0,,,,,
128,Anzahl Dateien,,3,,,,,
129,Anzahl Dateitypen,,3,,,,,
130,Datei #1,,,,Datei_11,.txa,27.05.2022 15:01:13,10
131,Datei #2,,,,Datei_12,.txb,27.05.2022 15:00:36,13
132,Datei #3,,,,Datei_13,.txc,27.05.2022 15:00:59,15
133,Leerzeile,---,---,---,---,---,---,---
134,Verzeichnis,,,doku/test/quelle/pfad2,,,,
135,Anzahl Verzeichnisse,,0,,,,,
136,Anzahl Dateien,,2,,,,,
137,Anzahl Dateitypen,,2,,,,,
138,Datei #1,,,,Datei_21,.txa,27.05.2022 15:02:01,20
139,Datei #2,,,,Datei_22,.txb,27.05.2022 15:02:11,21
140,Leerzeile,---,---,---,---,---,---,---
141,Verzeichnis,,,doku/test/quelle/pfad3,,,,
142,Anzahl Verzeichnisse,,0,,,,,
143,Anzahl Dateien,,4,,,,,
144,Anzahl Dateitypen,,3,,,,,
145,Datei #1,,,,Datei_31,.txa,27.05.2022 15:07:12,24
146,Datei #2,,,,Datei_32,.txb,27.05.2022 15:04:04,22
147,Datei #3,,,,Datei_33,.txc,27.05.2022 15:04:16,23
148,Datei #4,,,,Datei_34,.txa,27.05.2022 15:07:53,26
